,Movie_name,movie_type,Director,Actors,Movie_Description,Release_Year,Time_duration'M',Imdb_Rating,Imdb_votes,Meta_score,Decade
64, City of God,R,sFernando MeirellesKátia Lund,Alexandre RodriguesLeandro FirminoMatheus Nachtergaele,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",2002,130,8.6,835000,79.0,2000
65, To Have and Have Not,Approved,Howard Hawks,Humphrey BogartLauren BacallWalter Brennan,"During World War II, an American expatriate helps transport a French Resistance leader and his wife to Martinique while romancing a lounge singer.",1944,100,7.8,40000,90.0,1940
66, Fargo,R,sJoel CoenEthan Coen,William H. MacyFrances McDormandSteve Buscemi,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,1996,98,8.1,754000,88.0,1990
67, Life of Pi,PG,Ang Lee,Suraj SharmaIrrfan KhanAdil Hussain,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",2012,127,7.9,684000,79.0,2010
68, Slumdog Millionaire,R,sDanny BoyleLoveleen Tandan,Dev PatelFreida PintoSaurabh Shukla,"When a teenager from the slums of Mumbai is interrogated about his suspicious performance on a quiz show, he revisits various events from his past to explain how he knew all the answers.",2008,120,8.0,894000,84.0,2000
69, Vertigo,PG,Alfred Hitchcock,James StewartKim NovakBarbara Bel Geddes,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",1958,128,8.3,444000,100.0,1950
70, Trainspotting,R,Danny Boyle,Ewan McGregorEwen BremnerJonny Lee Miller,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",1996,93,8.1,748000,83.0,1990
71, Interstellar,PG-13,Christopher Nolan,Matthew McConaugheyAnne HathawayJessica Chastain,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",2014,169,8.7,323500,74.0,2010
72, The Thing,R,John Carpenter,Kurt RussellWilford BrimleyKeith David,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,1982,109,8.2,497000,57.0,1980
73, The Third Man,Approved,Carol Reed,Orson WellesJoseph CottenAlida Valli,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",1949,104,8.1,189000,97.0,1940
74, 12 Monkeys,R,Terry Gilliam,Bruce WillisMadeleine StoweBrad Pitt,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",1995,129,8.0,663000,75.0,1990
75, Life Is Beautiful,PG-13,Roberto Benigni,Roberto BenigniNicoletta BraschiGiorgio Cantarini,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",1997,116,8.6,776000,58.0,1990
76, The Pianist,R,Roman Polanski,Adrien BrodyThomas KretschmannFrank Finlay,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",2002,150,8.5,965000,85.0,2000
77, Magnolia,R,Paul Thomas Anderson,Tom CruiseJason RobardsJulianne Moore,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley.",1999,120,8.0,337000,78.0,1990
78, The Dark Knight Rises,PG-13,Christopher Nolan,Christian BaleTom HardyAnne Hathaway,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",2012,164,8.4,323500,78.0,2010
